      t         y1        y2      check
  29.45000   5.57399  -0.88440  31.85155
  29.50000   5.52977  -1.75534  33.65958
  29.55000   5.44200  -2.61937  36.47649
  29.60000   5.31104  -3.46968  40.24577
  29.65000   5.13755  -4.29953  44.88038
  29.70000   4.92258  -5.10227  50.26491
  29.75000   4.66746  -5.87142  56.25881
  29.80000   4.37389  -6.60071  62.70035
  29.85000   4.04386  -7.28413  69.41138
  29.90000   3.67965  -7.91599  76.20266
  29.95000   3.28385  -8.49093  82.87959
  30.00000   2.85930  -9.00403  89.24823
  30.05000   2.40910  -9.45080  95.12138
  30.10000   1.93656  -9.82722 100.32455
  30.15000   1.44520 -10.12981 104.70163
  30.20000   0.93871 -10.35562 108.12007
  30.25000   0.42093 -10.50229 110.47538
  30.30000  -0.10419 -10.56806 111.69485
  30.35000  -0.63259 -10.55179 111.74035
  30.40000  -1.16018 -10.45294 110.61005
  30.45000  -1.68283 -10.27167 108.33902
  30.50000  -2.19641 -10.00872 104.99878
  30.55000  -2.69685  -9.66554 100.69555
  30.60000  -3.18012  -9.24415  95.56755
  30.65000  -3.64233  -8.74726  89.78111
  30.70000  -4.07969  -8.17815  83.52595
  30.75000  -4.48860  -7.54069  77.00958
  30.80000  -4.86563  -6.83935  70.45110
  30.85000  -5.20760  -6.07909  64.07450
  30.90000  -5.51156  -5.26541  58.10176
  30.95000  -5.77483  -4.40423  52.74583
  31.00000  -5.99504  -3.50191  48.20385
  31.05000  -6.17013  -2.56518  44.65072
  31.10000  -6.29839  -1.60110  42.23328
  31.15000  -6.37845  -0.61698  41.06526
  31.20000  -6.40930   0.37966  41.22323
  31.25000  -6.39031   1.38111  42.74358
  31.30000  -6.32126   2.37960  45.62079
  31.35000  -6.20228   3.36729  49.80692
  31.40000  -6.03391   4.33640  55.21247
  31.45000  -5.81709   5.27920  61.70851
  31.50000  -5.55313   6.18812  69.13011
  31.55000  -5.24373   7.05580  77.28094
  31.60000  -4.89094   7.87513  85.93893
